time,seconds_elapsed,z,y,x
1717009637513429200,0.06842919921875,-0.294675350189209,-0.23409271240234375,0.10458207130432129
1717009637553438000,0.10843798828125,-0.3027033805847168,-0.19954681396484375,0.1651604175567627
1717009637593416000,0.148416015625,0.4909539222717285,-1.14646577835083,2.452139139175415
1717009637633424400,0.18842431640625,-2.248542308807373,-0.02164745330810547,1.0964542627334595
1717009637673432800,0.228432861328125,-8.59775447845459,-1.7959816455841064,0.19792544841766357
1717009637713441500,0.268441650390625,4.296648025512695,3.0384979248046875,-8.60885238647461
1717009637753419500,0.30841943359375,1.8145055770874023,0.1481761932373047,-1.641618251800537
1717009637793428000,0.348427978515625,3.9941978454589844,0.41085171699523926,0.16141438484191895
1717009637833436700,0.388436767578125,1.749516487121582,0.9814321994781494,-0.6398681998252869
1717009637873414700,0.42841455078125,-3.118529796600342,2.100987434387207,-1.3862848281860352
1717009637913423000,0.468423095703125,-0.4445991516113281,2.9184389114379883,-3.5606613159179688
1717009637953431800,0.508431884765625,-1.274521827697754,3.900367259979248,-7.913878440856934
1717009637993440300,0.548440185546875,5.451152801513672,4.467696666717529,-5.544548034667969
1717009638033418200,0.588418212890625,6.410975456237793,-4.06345272064209,5.179118633270264
1717009638073427000,0.628427001953125,-0.49318838119506836,-5.149824619293213,5.785834312438965
1717009638113435400,0.668435302734375,0.42404890060424805,-6.824445724487305,7.221063137054443
1717009638183534300,0.738534423828125,3.6693382263183594,-4.741997718811035,4.344821453094482
1717009638243531800,0.79853173828125,2.590160846710205,-1.9417204856872559,-0.25217270851135254
1717009638303529200,0.858529296875,6.455904960632324,-0.8013296127319336,-1.3219109773635864
1717009638363527200,0.918527099609375,5.069710731506348,-0.772977352142334,-1.6197841167449951
1717009638423555000,0.97855517578125,3.82603120803833,-0.512904167175293,-1.5925230979919434
1717009638483552500,1.038552490234375,1.8940134048461914,-0.3663473129272461,-1.4114164113998413
1717009638543550200,1.09855029296875,0.47130823135375977,-1.6729011535644531,-1.1066128015518188
1717009638603547600,1.158547607421875,3.345447063446045,-2.0957303047180176,-2.0542144775390625
1717009638663545300,1.21854541015625,-0.8342561721801758,-1.8367791175842285,-0.8448436260223389
1717009638723542800,1.278542724609375,2.265927791595459,-2.098966121673584,-0.5416423678398132
1717009638783540500,1.33854052734375,-1.1926884651184082,-2.574873924255371,-0.38715988397598267
1717009638843538000,1.398537841796875,-0.46161985397338867,-2.938322067260742,-0.10644377768039703
1717009638903535400,1.458535400390625,-1.7587127685546875,-2.8375983238220215,-0.27624937891960144
1717009638963533000,1.518532958984375,-1.8527462482452393,-2.8433704376220703,-0.5838618278503418
1717009639023530500,1.578530517578125,-1.232923984527588,-2.188361644744873,-0.7380601167678833
