time,seconds_elapsed,z,y,x
1717013147716806000,0.112805908203125,1.5621929168701172,0.1235886812210083,0.6046402454376221
1717013147756784000,0.1527841796875,-1.7624497413635254,0.20163124799728394,-1.5250365734100342
1717013147816781600,0.212781494140625,-3.224076271057129,-0.18763792514801025,-0.28221607208251953
1717013147876809700,0.272809814453125,-4.6743879318237305,-0.4906965494155884,-1.2575204372406006
1717013147936807200,0.33280712890625,-2.4089431762695312,-1.0050904750823975,-0.2979121208190918
1717013147996804900,0.392804931640625,-8.142366409301758,-1.720123291015625,-2.396927833557129
1717013148056802300,0.45280224609375,-3.239048719406128,-3.7360315322875977,3.4251623153686523
1717013148116800000,0.512800048828125,-2.327481508255005,-1.6384050846099854,6.779140472412109
1717013148176797400,0.57279736328125,3.7366490364074707,2.325719118118286,9.699780464172363
1717013148236795000,0.632794921875,2.4222915172576904,1.3277368545532227,4.689362049102783
1717013148296792600,0.69279248046875,-0.473779559135437,1.9339714050292969,-1.5472111701965332
1717013148356790000,0.7527900390625,-1.0370914936065674,2.3145127296447754,-0.3523445129394531
1717013148416787700,0.81278759765625,-3.2828216552734375,3.095271348953247,-0.7129974365234375
1717013148476785400,0.872785400390625,-0.7127432823181152,3.461085796356201,-0.8292884826660156
1717013148536782800,0.932782958984375,-0.8409991264343262,2.6660478115081787,-0.32700586318969727
1717013148596780500,0.992780517578125,-0.8972444534301758,1.7587270736694336,0.5291833877563477
1717013148656808400,1.052808349609375,-1.852901816368103,2.0566186904907227,1.8808565139770508
1717013148716806000,1.112805908203125,1.7817440032958984,4.405427932739258,1.1831436157226562
1717013148776803600,1.172803466796875,-0.7622146606445312,4.330246925354004,4.33083438873291
1717013148836801000,1.232801025390625,-5.417705535888672,1.2363886833190918,4.687618255615234
1717013148896798700,1.292798828125,-0.35399675369262695,-0.5733051300048828,6.395227432250977
1717013148956796200,1.352796142578125,-0.7907558679580688,-0.8231931924819946,8.5690279006958
1717013149016793600,1.412793701171875,0.8351719379425049,-3.9283294677734375,10.977988243103027
1717013149076791300,1.472791259765625,2.4803333282470703,-7.074268341064453,4.687277793884277
1717013149136789000,1.5327890625,-0.4612445831298828,-3.6602816581726074,-3.1198675632476807
1717013149196786400,1.592786376953125,8.245255470275879,-5.735302925109863,-2.6252098083496094
1717013149256784100,1.6527841796875,4.5973920822143555,-0.3456587791442871,-6.1597676277160645
1717013149316781600,1.712781494140625,-2.2506847381591797,0.7704067230224609,-5.0823774337768555
1717013149376809700,1.772809814453125,-3.0504589080810547,1.1588740348815918,-3.625669240951538
1717013149436807200,1.83280712890625,-0.9694318771362305,1.038088321685791,-2.963012218475342
1717013149496804900,1.892804931640625,-1.1938695907592773,1.1940327882766724,-1.7225761413574219
1717013149556802300,1.95280224609375,1.4745488166809082,-0.24201226234436035,-1.0781121253967285
1717013149616800000,2.012800048828125,2.4589619636535645,1.1391727924346924,-2.5191850662231445
1717013149676797400,2.07279736328125,0.38256216049194336,2.4119937419891357,-2.1423206329345703
1717013149736795000,2.132794921875,-3.100780487060547,1.1710827350616455,-2.733712911605835
1717013149796792600,2.19279248046875,1.0603160858154297,0.08610105514526367,-1.834726333618164
1717013149856790000,2.2527900390625,2.125649929046631,-1.3728134632110596,-3.6809422969818115
1717013149916787700,2.31278759765625,3.8582491874694824,-1.9529554843902588,-4.013116836547852
1717013149976785400,2.372785400390625,-0.26316404342651367,-0.2804856300354004,-3.625969409942627
1717013150036782800,2.432782958984375,-3.010730266571045,2.100478172302246,3.835660934448242
1717013150096780500,2.492780517578125,-0.5183877944946289,2.6857166290283203,-2.8871278762817383
1717013150156808400,2.552808349609375,-2.792792797088623,0.6638956069946289,-2.5743346214294434
1717013150216806000,2.612805908203125,-1.6930925846099854,-2.4223744869232178,-3.3473000526428223
1717013150276803600,2.672803466796875,-1.6339515447616577,-5.54130220413208,0.3026399612426758
1717013150336801000,2.732801025390625,-0.6991488933563232,-5.8159966468811035,7.711572647094727
1717013150396798700,2.792798828125,4.477568626403809,-7.122373580932617,3.671257972717285
1717013150456796200,2.852796142578125,-1.9847534894943237,-4.621170520782471,10.297350883483887
1717013150516793900,2.9127939453125,2.827451229095459,-4.835497856140137,4.113994598388672
1717013150576791300,2.972791259765625,-0.5144517421722412,-1.1510953903198242,8.824237823486328
1717013150636789000,3.0327890625,0.06562953442335129,0.7056713104248047,1.9115009307861328
1717013150696786700,3.09278662109375,-1.4890730381011963,3.5858538150787354,-0.19118928909301758
1717013150756784000,3.1527841796875,-0.2862684428691864,5.2351155281066895,0.4573054313659668
1717013150816781600,3.212781494140625,-0.3822100758552551,6.699324131011963,1.092287540435791
1717013150876809700,3.272809814453125,-1.0380682945251465,6.386956691741943,1.0014424324035645
1717013150936807200,3.33280712890625,-4.171671390533447,3.8693389892578125,0.9874472618103027
1717013150996804900,3.392804931640625,-3.501877546310425,-0.2584681510925293,-0.43175411224365234
1717013151056802300,3.45280224609375,0.99608314037323,-0.20461177825927734,3.3463568687438965
1717013151116800000,3.512800048828125,2.2454116344451904,-0.2391953468322754,3.748518943786621
1717013151176797400,3.57279736328125,-0.3790050745010376,-0.931795597076416,-1.787034034729004
1717013151236795000,3.632794921875,-1.2924556732177734,-0.27455663681030273,-1.5657286643981934
1717013151296792600,3.69279248046875,-1.4690414667129517,0.23828744888305664,0.7446660995483398
1717013151356790000,3.7527900390625,-1.120952844619751,0.9204397201538086,0.635322093963623
1717013151416787700,3.81278759765625,-0.6073567867279053,1.3195123672485352,2.180445671081543
