time,seconds_elapsed,z,y,x
1717011034562616300,0.0536162109375,0.01710422709584236,0.1411098688840866,-0.009773843921720982
1717011034602626800,0.093626708984375,0.01710422709584236,0.1411098688840866,-0.009773843921720982
1717011034642610400,0.1336103515625,-1.2412781715393066,-1.804495930671692,1.8613064289093018
1717011034682617900,0.173617919921875,-2.345111608505249,-2.9468140602111816,0.8692612648010254
1717011034722627000,0.213626953125,-2.9584202766418457,-0.5907067060470581,-0.16859880089759827
1717011034762607400,0.253607421875,-2.4251351356506348,-0.9474520087242126,-0.6707300543785095
1717011034802611000,0.29361083984375,-0.6017022728919983,-0.9450085163116455,0.20036379992961884
1717011034842622700,0.333622802734375,0.27122417092323303,-1.2522737979888916,0.4086688458919525
1717011034882630700,0.373630615234375,-0.34208452701568604,-1.9431623220443726,-0.44104471802711487
1717011034922606300,0.4136064453125,-1.0482447147369385,-2.464841365814209,-1.1343767642974854
1717011034962617300,0.453617431640625,-1.1533136367797852,-1.5063936710357666,0.8246681094169617
1717011035002626600,0.49362646484375,-1.777006983757019,-3.235142230987549,1.50211763381958
1717011035042631400,0.53363134765625,-1.5076154470443726,-2.5143213272094727,1.3396275043487549
1717011035082612500,0.573612548828125,-1.6829338073730469,-2.2540926933288574,1.0421360731124878
1717011035122621000,0.613620849609375,-1.6725490093231201,-1.2962560653686523,0.1612684279680252
1717011035162627000,0.653626953125,-1.8301522731781006,-0.05314527451992035,-0.5400048494338989
1717011035202608000,0.693608154296875,-1.3548991680145264,-0.5748242139816284,-0.02626720629632473
1717011035242616000,0.733615966796875,-1.330464482307434,-1.7739527225494385,0.5589417219161987
1717011035282623700,0.773623779296875,-1.2412781715393066,-2.0971004962921143,0.45265114307403564
1717011035322633700,0.8136337890625,-1.4049900770187378,-1.500285029411316,0.05803219974040985
1717011035362611700,0.85361181640625,-1.0073168277740479,-2.2369885444641113,-0.024434609338641167
1717011035402616600,0.893616455078125,-0.26939156651496887,-2.869234085083008,0.3781255781650543
1717011035442629400,0.93362939453125,0.09773843735456467,-2.3023509979248047,0.9010262489318848
1717011035482608600,0.973608642578125,0.9071348905563354,-3.5020904541015625,0.6291912198066711
1717011035522611700,1.01361181640625,1.6468926668167114,-4.1972551345825195,-0.08735372871160507
1717011035562625500,1.05362548828125,2.0079140663146973,-2.4049763679504395,-1.1808024644851685
1717011035602632000,1.0936318359375,2.6028966903686523,-2.7843236923217773,-0.827722430229187
1717011035642607000,1.133607177734375,2.778215169906616,-2.4013113975524902,-0.5222898125648499
1717011035682618600,1.17361865234375,2.93154239654541,-1.3933836221694946,-1.0525208711624146
1717011035722627000,1.213626953125,3.3457088470458984,-0.4599815309047699,-2.1068742275238037
1717011035762602200,1.253602294921875,2.9358184337615967,0.22663100063800812,-2.291966438293457
1717011035802613800,1.29361376953125,2.504547595977783,0.5546656250953674,-2.3164010047912598
1717011035842622500,1.33362255859375,2.2125539779663086,0.5015203952789307,-2.263866662979126
1717011035882627600,1.373627685546875,1.8460347652435303,0.4660901725292206,-1.8509217500686646
1717011035922609000,1.41360888671875,1.6114624738693237,0.2779437005519867,-1.528384804725647
1717011035962617300,1.453617431640625,1.2424999475479126,0.22113321721553802,-1.3432927131652832
1717011036002622700,1.493622802734375,1.037249207496643,0.22357667982578278,-1.091616153717041
1717011036042634000,1.533634033203125,0.8503243923187256,-0.20952677726745605,-0.9834930300712585
1717011036082612500,1.573612548828125,0.44287729263305664,0.303600013256073,-1.0378600358963013
1717011036122618000,1.6136181640625,-0.3897320330142975,0.49357911944389343,-0.5479460954666138
1717011036162629400,1.65362939453125,-0.7849618196487427,-0.08552113175392151,0.21868975460529327
1717011036202607000,1.693607177734375,-0.7611380815505981,-0.32681289315223694,0.34147366881370544
1717011036242613000,1.733613037109375,-1.189354658126831,-0.018325956538319588,0.16432274878025055
1717011036282624800,1.773624755859375,-1.511891484260559,0.1459967941045761,0.2620611786842346
1717011036322633200,1.81363330078125,-1.6584991216659546,0.024434609338641167,0.41722095012664795
1717011036362608400,1.8536083984375,-1.7415767908096313,-0.02932153269648552,0.6310238242149353
1717011036402620000,1.893619873046875,-1.700037956237793,0.06536258012056351,0.646906316280365
1717011036442628400,1.93362841796875,-1.6633861064910889,0.18570303916931152,0.5931501388549805
1717011036482603300,1.973603271484375,-1.513113260269165,0.12034045159816742,0.394618958234787
1717011036522614800,2.01361474609375,-1.1850786209106445,0.04642575979232788,0.1062905490398407
1717011036562623700,2.053623779296875,-0.807563841342926,0.5174028873443604,0.09957103431224823
1717011036602629000,2.093629150390625,-0.7941248416900635,0.6676757335662842,0.5619960427284241
1717011036642609700,2.133609619140625,-0.656069278717041,0.3634648323059082,1.214400053024292
1717011036682618400,2.173618408203125,-0.618195652961731,-0.2669481039047241,1.4978415966033936
1717011036722626000,2.2136259765625,-0.342695415019989,-0.47280970215797424,1.2113457918167114
1717011036762605000,2.25360498046875,0.5021312236785889,-0.3274237811565399,0.6517932415008545
1717011036802613500,2.293613525390625,0.6835582256317139,-0.37079519033432007,0.5717698931694031
1717011036842619400,2.333619384765625,0.5876523852348328,-0.48685958981513977,0.8362745046615601
1717011036882630700,2.373630615234375,0.5687155723571777,-0.304210901260376,0.9871582388877869
1717011036922608600,2.413608642578125,0.5222898125648499,-0.10567969083786011,0.7819074988365173
1717011036962616300,2.4536162109375,0.7843509912490845,0.03298672288656235,0.41111230850219727
1717011037002628000,2.493628173828125,1.3445143699645996,0.1111774742603302,-0.11972958594560623
1717011037042636500,2.533636474609375,1.6279559135437012,-0.13988813757896423,-0.5100724697113037
